"model","aircraft_code","range","all_seats","occupied_seats","occupancy_air","flight_id","sum_amount","scheduled_departure","scheduled_arrival","departure_airport","arrival_airport","actual_departure","actual_arrival","time_fly","city","airport_name","longitude","latitude"
"Boeing 737-300","733",4200,"130","110","0.84615384615384615385",136165,"1567600.00","2017-02-22 10:05:00+00","2017-02-22 11:45:00+00","AAQ","SVO","2017-02-22 10:11:00+00","2017-02-22 11:52:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","110","0.84615384615384615385",136172,"1617600.00","2017-01-15 10:05:00+00","2017-01-15 11:45:00+00","AAQ","SVO","2017-01-15 10:05:00+00","2017-01-15 11:44:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","99","0.76153846153846153846",136178,"1434600.00","2017-01-29 10:05:00+00","2017-01-29 11:45:00+00","AAQ","SVO","2017-01-29 10:10:00+00","2017-01-29 11:49:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","118","0.90769230769230769231",136181,"1689600.00","2017-01-31 10:05:00+00","2017-01-31 11:45:00+00","AAQ","SVO","2017-01-31 10:05:00+00","2017-01-31 11:44:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","104","0.80000000000000000000",136185,"1520000.00","2017-01-14 10:05:00+00","2017-01-14 11:45:00+00","AAQ","SVO","2017-01-14 10:06:00+00","2017-01-14 11:49:00+00","01:43:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","100","0.76923076923076923077",136202,"1495600.00","2017-01-05 10:05:00+00","2017-01-05 11:45:00+00","AAQ","SVO","2017-01-05 10:07:00+00","2017-01-05 11:49:00+00","01:42:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","107","0.82307692307692307692",136204,"1457800.00","2017-02-23 10:05:00+00","2017-02-23 11:45:00+00","AAQ","SVO","2017-02-23 10:06:00+00","2017-02-23 11:46:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","112","0.86153846153846153846",136209,"1615200.00","2017-01-06 10:05:00+00","2017-01-06 11:45:00+00","AAQ","SVO","2017-01-06 10:09:00+00","2017-01-06 11:49:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","114","0.87692307692307692308",136215,"1664000.00","2017-02-28 10:05:00+00","2017-02-28 11:45:00+00","AAQ","SVO","2017-02-28 10:09:00+00","2017-02-28 11:49:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","130","1.00000000000000000000",136226,"1886000.00","2017-01-30 10:05:00+00","2017-01-30 11:45:00+00","AAQ","SVO","2017-01-30 10:08:00+00","2017-01-30 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","123","0.94615384615384615385",136249,"1800600.00","2017-02-14 10:05:00+00","2017-02-14 11:45:00+00","AAQ","SVO","2017-02-14 10:08:00+00","2017-02-14 11:46:00+00","01:38:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","99","0.76153846153846153846",136250,"1407800.00","2017-02-08 10:05:00+00","2017-02-08 11:45:00+00","AAQ","SVO","2017-02-08 10:06:00+00","2017-02-08 11:47:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","116","0.89230769230769230769",136264,"1690800.00","2017-02-18 10:05:00+00","2017-02-18 11:45:00+00","AAQ","SVO","2017-02-18 10:07:00+00","2017-02-18 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","108","0.83076923076923076923",136266,"1566400.00","2017-02-27 10:05:00+00","2017-02-27 11:45:00+00","AAQ","SVO","2017-02-27 10:08:00+00","2017-02-27 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","115","0.88461538461538461538",136268,"1676200.00","2017-02-16 10:05:00+00","2017-02-16 11:45:00+00","AAQ","SVO","2017-02-16 10:08:00+00","2017-02-16 11:49:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","109","0.83846153846153846154",136269,"1605400.00","2017-02-11 10:05:00+00","2017-02-11 11:45:00+00","AAQ","SVO","2017-02-11 10:13:00+00","2017-02-11 11:53:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","111","0.85384615384615384615",136270,"1628600.00","2017-02-12 10:05:00+00","2017-02-12 11:45:00+00","AAQ","SVO","2017-02-12 10:12:00+00","2017-02-12 11:51:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","125","0.96153846153846153846",136275,"1825000.00","2017-01-13 10:05:00+00","2017-01-13 11:45:00+00","AAQ","SVO","2017-01-13 10:08:00+00","2017-01-13 11:46:00+00","01:38:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","106","0.81538461538461538462",136282,"1518800.00","2017-01-16 10:05:00+00","2017-01-16 11:45:00+00","AAQ","SVO","2017-01-16 10:07:00+00","2017-01-16 11:48:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","117","0.90000000000000000000",136284,"1677400.00","2017-02-07 10:05:00+00","2017-02-07 11:45:00+00","AAQ","SVO","2017-02-07 10:07:00+00","2017-02-07 11:48:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","114","0.87692307692307692308",136293,"1689600.00","2017-01-23 10:05:00+00","2017-01-23 11:45:00+00","AAQ","SVO","2017-01-23 10:09:00+00","2017-01-23 11:48:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","117","0.90000000000000000000",136310,"1654200.00","2017-01-22 10:05:00+00","2017-01-22 11:45:00+00","AAQ","SVO","2017-01-22 10:07:00+00","2017-01-22 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","130","1.00000000000000000000",136316,"1886000.00","2017-01-12 10:05:00+00","2017-01-12 11:45:00+00","AAQ","SVO","2017-01-12 10:07:00+00","2017-01-12 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","106","0.81538461538461538462",136320,"1544400.00","2017-02-19 10:05:00+00","2017-02-19 11:45:00+00","AAQ","SVO","2017-02-19 10:05:00+00","2017-02-19 11:45:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","108","0.83076923076923076923",136322,"1567600.00","2017-02-06 10:05:00+00","2017-02-06 11:45:00+00","AAQ","SVO","2017-02-06 10:11:00+00","2017-02-06 11:52:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","108","0.83076923076923076923",136345,"1517600.00","2017-01-24 10:05:00+00","2017-01-24 11:45:00+00","AAQ","SVO","2017-01-24 13:32:00+00","2017-01-24 15:12:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","120","0.92307692307692307692",136348,"1762800.00","2017-02-10 10:05:00+00","2017-02-10 11:45:00+00","AAQ","SVO","2017-02-10 10:05:00+00","2017-02-10 11:45:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","105","0.80769230769230769231",136351,"1555400.00","2017-02-26 10:05:00+00","2017-02-26 11:45:00+00","AAQ","SVO","2017-02-26 10:13:00+00","2017-02-26 11:53:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","97","0.74615384615384615385",136360,"1455400.00","2017-02-05 10:05:00+00","2017-02-05 11:45:00+00","AAQ","SVO","2017-02-05 10:08:00+00","2017-02-05 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","103","0.79230769230769230769",136366,"1527400.00","2017-01-11 10:05:00+00","2017-01-11 11:45:00+00","AAQ","SVO","2017-01-11 10:08:00+00","2017-01-11 11:47:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","106","0.81538461538461538462",136383,"1493200.00","2017-01-25 10:05:00+00","2017-01-25 11:45:00+00","AAQ","SVO","2017-01-25 10:09:00+00","2017-01-25 11:51:00+00","01:42:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","121","0.93076923076923076923",136387,"1775000.00","2017-01-19 10:05:00+00","2017-01-19 11:45:00+00","AAQ","SVO","2017-01-19 10:08:00+00","2017-01-19 11:47:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","129","0.99230769230769230769",136389,"1873800.00","2017-01-18 10:05:00+00","2017-01-18 11:45:00+00","AAQ","SVO","2017-01-18 10:10:00+00","2017-01-18 11:50:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","129","0.99230769230769230769",136403,"1873800.00","2017-02-20 10:05:00+00","2017-02-20 11:45:00+00","AAQ","SVO","2017-02-20 10:06:00+00","2017-02-20 11:46:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","110","0.84615384615384615385",136411,"1590800.00","2017-02-04 10:05:00+00","2017-02-04 11:45:00+00","AAQ","SVO","2017-02-04 10:06:00+00","2017-02-04 11:46:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","104","0.80000000000000000000",136420,"1542000.00","2017-01-01 10:05:00+00","2017-01-01 11:45:00+00","AAQ","SVO","2017-01-01 10:09:00+00","2017-01-01 11:47:00+00","01:38:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","129","0.99230769230769230769",136423,"1849400.00","2017-01-10 10:05:00+00","2017-01-10 11:45:00+00","AAQ","SVO","2017-01-10 10:12:00+00","2017-01-10 11:52:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","115","0.88461538461538461538",136428,"1678600.00","2017-01-21 10:05:00+00","2017-01-21 11:45:00+00","AAQ","SVO","2017-01-21 10:08:00+00","2017-01-21 11:47:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","124","0.95384615384615384615",136436,"1811600.00","2017-01-26 10:05:00+00","2017-01-26 11:45:00+00","AAQ","SVO","2017-01-26 10:08:00+00","2017-01-26 11:47:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","117","0.90000000000000000000",136439,"1701800.00","2017-02-25 10:05:00+00","2017-02-25 11:45:00+00","AAQ","SVO","2017-02-25 10:08:00+00","2017-02-25 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","128","0.98461538461538461538",136441,"1837200.00","2017-02-03 10:05:00+00","2017-02-03 11:45:00+00","AAQ","SVO","2017-02-03 10:07:00+00","2017-02-03 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","109","0.83846153846153846154",136452,"1603000.00","2017-02-17 10:05:00+00","2017-02-17 11:45:00+00","AAQ","SVO","2017-02-17 10:08:00+00","2017-02-17 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","110","0.84615384615384615385",136458,"1568800.00","2017-01-02 10:05:00+00","2017-01-02 11:45:00+00","AAQ","SVO","2017-01-02 10:07:00+00","2017-01-02 11:46:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","122","0.93846153846153846154",136463,"1788400.00","2017-01-20 10:05:00+00","2017-01-20 11:45:00+00","AAQ","SVO","2017-01-20 10:06:00+00","2017-01-20 11:45:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","100","0.76923076923076923077",136464,"1398000.00","2017-01-09 10:05:00+00","2017-01-09 11:45:00+00","AAQ","SVO","2017-01-09 10:07:00+00","2017-01-09 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","120","0.92307692307692307692",136471,"1762800.00","2017-01-17 10:05:00+00","2017-01-17 11:45:00+00","AAQ","SVO","2017-01-17 10:11:00+00","2017-01-17 11:51:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","122","0.93846153846153846154",136479,"1738400.00","2017-02-21 10:05:00+00","2017-02-21 11:45:00+00","AAQ","SVO","2017-02-21 10:08:00+00","2017-02-21 11:47:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","106","0.81538461538461538462",136485,"1520000.00","2017-01-27 10:05:00+00","2017-01-27 11:45:00+00","AAQ","SVO","2017-01-27 10:07:00+00","2017-01-27 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","107","0.82307692307692307692",136486,"1505400.00","2017-02-02 10:05:00+00","2017-02-02 11:45:00+00","AAQ","SVO","2017-02-02 10:07:00+00","2017-02-02 11:48:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Sukhoi Superjet-100","SU9",3000,"97","95","0.97938144329896907216",136571,"752700.00","2017-01-25 09:25:00+00","2017-01-25 10:15:00+00","AAQ","EGO","2017-01-25 09:28:00+00","2017-01-25 10:18:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136586,"759000.00","2017-01-10 09:25:00+00","2017-01-10 10:15:00+00","AAQ","EGO","2017-01-10 09:28:00+00","2017-01-10 10:18:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136600,"765300.00","2017-02-08 09:25:00+00","2017-02-08 10:15:00+00","AAQ","EGO","2017-02-08 09:26:00+00","2017-02-08 10:16:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136605,"765300.00","2017-02-15 09:25:00+00","2017-02-15 10:15:00+00","AAQ","EGO","2017-02-15 09:28:00+00","2017-02-15 10:19:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","81","0.83505154639175257732",136609,"639300.00","2017-01-08 09:25:00+00","2017-01-08 10:15:00+00","AAQ","EGO","2017-01-08 09:28:00+00","2017-01-08 10:18:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","94","0.96907216494845360825",136612,"746400.00","2017-02-21 09:25:00+00","2017-02-21 10:15:00+00","AAQ","EGO","2017-02-21 09:27:00+00","2017-02-21 10:17:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","79","0.81443298969072164948",136620,"613500.00","2017-02-17 09:25:00+00","2017-02-17 10:15:00+00","AAQ","EGO","2017-02-17 09:30:00+00","2017-02-17 10:19:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","94","0.96907216494845360825",136630,"746400.00","2017-02-25 09:25:00+00","2017-02-25 10:15:00+00","AAQ","EGO","2017-02-25 09:32:00+00","2017-02-25 10:22:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","91","0.93814432989690721649",136632,"714300.00","2017-01-07 09:25:00+00","2017-01-07 10:15:00+00","AAQ","EGO","2017-01-07 12:42:00+00","2017-01-07 13:33:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","64","0.65979381443298969072",136642,"531000.00","2017-01-30 09:25:00+00","2017-01-30 10:15:00+00","AAQ","EGO","2017-01-30 09:28:00+00","2017-01-30 10:17:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","82","0.84536082474226804124",136645,"633000.00","2017-01-05 09:25:00+00","2017-01-05 10:15:00+00","AAQ","EGO","2017-01-05 09:29:00+00","2017-01-05 10:20:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136649,"759000.00","2017-01-18 09:25:00+00","2017-01-18 10:15:00+00","AAQ","EGO","2017-01-18 09:25:00+00","2017-01-18 10:15:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136654,"759000.00","2017-01-19 09:25:00+00","2017-01-19 10:15:00+00","AAQ","EGO","2017-01-19 09:28:00+00","2017-01-19 10:17:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","87","0.89690721649484536082",136660,"677100.00","2017-02-20 09:25:00+00","2017-02-20 10:15:00+00","AAQ","EGO","2017-02-20 09:26:00+00","2017-02-20 10:15:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136661,"759000.00","2017-01-01 09:25:00+00","2017-01-01 10:15:00+00","AAQ","EGO","2017-01-01 09:27:00+00","2017-01-01 10:17:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","87","0.89690721649484536082",136666,"664500.00","2017-02-09 09:25:00+00","2017-02-09 10:15:00+00","AAQ","EGO","2017-02-09 09:26:00+00","2017-02-09 10:16:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","95","0.97938144329896907216",136669,"752700.00","2017-01-17 09:25:00+00","2017-01-17 10:15:00+00","AAQ","EGO","2017-01-17 09:26:00+00","2017-01-17 10:17:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136672,"759000.00","2017-02-03 09:25:00+00","2017-02-03 10:15:00+00","AAQ","EGO","2017-02-03 09:28:00+00","2017-02-03 10:18:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","80","0.82474226804123711340",136678,"631200.00","2017-01-28 09:25:00+00","2017-01-28 10:15:00+00","AAQ","EGO","2017-01-28 09:27:00+00","2017-01-28 10:17:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","95","0.97938144329896907216",136706,"740100.00","2017-01-06 09:25:00+00","2017-01-06 10:15:00+00","AAQ","EGO","2017-01-06 09:30:00+00","2017-01-06 10:20:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","87","0.89690721649484536082",136709,"689700.00","2017-01-15 09:25:00+00","2017-01-15 10:15:00+00","AAQ","EGO","2017-01-15 09:28:00+00","2017-01-15 10:18:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","95","0.97938144329896907216",136720,"752700.00","2017-01-26 09:25:00+00","2017-01-26 10:15:00+00","AAQ","EGO","2017-01-26 09:29:00+00","2017-01-26 10:19:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","88","0.90721649484536082474",136729,"695400.00","2017-01-29 09:25:00+00","2017-01-29 10:15:00+00","AAQ","EGO","2017-01-29 09:29:00+00","2017-01-29 10:19:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","94","0.96907216494845360825",136733,"746400.00","2017-01-09 09:25:00+00","2017-01-09 10:15:00+00","AAQ","EGO","2017-01-09 09:27:00+00","2017-01-09 10:18:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","90","0.92783505154639175258",136754,"721200.00","2017-02-06 09:25:00+00","2017-02-06 10:15:00+00","AAQ","EGO","2017-02-06 09:29:00+00","2017-02-06 10:18:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136755,"765300.00","2017-01-21 09:25:00+00","2017-01-21 10:15:00+00","AAQ","EGO","2017-01-21 09:30:00+00","2017-01-21 10:20:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136757,"765300.00","2017-01-27 09:25:00+00","2017-01-27 10:15:00+00","AAQ","EGO","2017-01-27 09:30:00+00","2017-01-27 10:19:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136758,"765300.00","2017-01-12 09:25:00+00","2017-01-12 10:15:00+00","AAQ","EGO","2017-01-12 09:26:00+00","2017-01-12 10:15:00+00","00:49:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","83","0.85567010309278350515",136767,"651300.00","2017-01-23 09:25:00+00","2017-01-23 10:15:00+00","AAQ","EGO","2017-01-23 09:27:00+00","2017-01-23 10:18:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","88","0.90721649484536082474",136769,"696000.00","2017-02-10 09:25:00+00","2017-02-10 10:15:00+00","AAQ","EGO","2017-02-10 09:30:00+00","2017-02-10 10:21:00+00","00:51:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136778,"759000.00","2017-02-22 09:25:00+00","2017-02-22 10:15:00+00","AAQ","EGO","2017-02-22 09:26:00+00","2017-02-22 10:16:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","89","0.91752577319587628866",136780,"714900.00","2017-02-24 09:25:00+00","2017-02-24 10:15:00+00","AAQ","EGO","2017-02-24 09:30:00+00","2017-02-24 10:20:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","97","1.00000000000000000000",136781,"765300.00","2017-01-14 09:25:00+00","2017-01-14 10:15:00+00","AAQ","EGO","2017-01-14 09:26:00+00","2017-01-14 10:16:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
"Sukhoi Superjet-100","SU9",3000,"97","96","0.98969072164948453608",136802,"746400.00","2017-02-26 09:25:00+00","2017-02-26 10:15:00+00","AAQ","EGO","2017-02-26 09:32:00+00","2017-02-26 10:22:00+00","00:50:00","Belgorod","Belgorod International Airport","36.5900993347168","50.643798828125"
